_type,_id,_revision,_page.next,kodas,vietovardis_pilnas_nekirciuotas,vietovardis,linksniai,vietovardzio_rusis,vietovardis_vertimas,kirciuote,adm_teritorinis_priklausymas,statusas,kitas_statusas,kiti_variantai,papildoma_informacija,susije_vietovardziai
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,a3f52d76-b229-4b13-9416-9f1340888f73,9e01348f-4365-4d6e-9627-bc2f6e961795,,1000010,Fabijoniškės,Fabijõniškės,,miesto dalis,,1,"Vilniaus miestas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,b18944a8-a169-4218-b54c-9d4ac7d332b9,8cfb67f5-3d19-46e2-b657-a2837f9c3e8a,,1000020,Ferma,Férma,,miestelis,,1,"Panevėžio rajonas, Panevėžioapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,48e988c8-f3fe-4dc3-a238-d37525026e3a,f0c375a7-99be-43af-b0e2-7a11655fdaa6,,1000030,Fermos,Férmos,,kaimas,,1,"Jurbarko rajonas, Tauragėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,4f7868e8-2e6a-40c4-975a-b3eea2a27d98,3b93f310-d08d-4569-bbf3-10f45a47a55a,,1000040,Fliorencija,Flioreñcija,,kaimas,,1,"Raseinių rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,4d82ff3f-3539-486f-b736-ecdb39f93b6d,2ecbe79e-1b6a-4f6b-8fc3-bccdc35e0e5c,,1000050,Fontanka,Fontánka,,kaimas,,1,"Kaliningrado sritis, Slavsko rajonas, Rusija",oficialusis,neoficialusis - Petrikai̇̃,,buvusi Labguvos apskritis,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,2c5c67fa-60d6-4e9c-9fef-5a7b83d9f85f,fb9adff9-9f7c-47b3-a2f5-48493263b7dd,,1000060,Franciškis,Franci̇̀škis,"Franci̇̀škio, Franci̇̀škiui, į Franci̇̀škį, ties Franciškiù, Franci̇̀škyje",kaimas,,2,"Biržų rajonas, Panevėžioapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,174004ec-d39f-4fe2-9011-9739e24b477a,1a4cf0c0-ec44-4d15-b15a-11d53f0755ab,,1000070,Frankpolis,Fránkpolis,,kaimas,,1,"Kelmės rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,1a7d69df-3735-4075-83e5-5f13de54825f,7f78738c-fd15-4925-8aa5-5dd3dcb5a81a,,1000080,Freda,Fredà,"Frèdos, Frèdai, į Frèdą, ties Fredà, Frèdoje",miesto dalis,,2,"Kauno miestas, Kaunoapskritis, Lietuva",šalutinis,,Aukštóji Fredà - pagrindinis,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,d6fa0e36-daca-4dad-ab3a-602a25ea4438,590e125a-5646-49dc-b6ae-5a1a40966838,,1000090,Furmanovka,Furmãnovka,,kaimas,,1,"Kaliningrado sritis, Nesterovo rajonas, Rusija",oficialusis,neoficialusis - Senóji Katniavà,,buvusi Stalupėnų apskritis,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,5265d267-52d4-49d1-ada1-167de7c824b8,cb6f5b2c-e66d-4957-8667-4ad5b3b5bfee,,100010,Abarauskai,Abarauskai̇̃,"Abarauskų̃, Abarauskáms, į Abarauskùs, ties Abarauskai̇̃s, Abarauskuosè",kaimas,,4,"Lazdijų rajonas, Alytausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,1899c9ef-5c9f-49ac-aa9f-2e4ecf592239,a7bb0ab7-4dc6-43be-8672-e508bb1cd412,,1000100,Furmanovas,Furmãnovas,,kaimas,,1,"Kaliningrado sritis, Gusevo rajonas, Rusija",oficialusis,neoficialusis - Stanáičiai,,buvusi Gumbinės apskritis,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,3fb56d72-c557-4fd2-8839-eba7bbdeb8c1,e75548bc-f6ee-4819-bc58-a0267ed20171,,100020,Abejučių piliakalnis,Abejùčių pi̇̀liakalnis,,piliakalnis,,,"Švenčionių rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,10220ca1-188c-4ad5-b94f-90cf5c059673,d591125f-e3ff-41bb-ab6e-4bd901d9327a,,100030,Abejučių pilkapynas,Abejùčių pilkapýnas,,pilkapynas,,,"Švenčionių rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,ff425720-14a5-4fe4-b04f-e47697fd6540,7a007870-a6b2-4d27-9e6d-460a194f8c59,,100040,Abezė,Abèzė,"Abèzės, Abèzei, į Abèzę, ties Abezè, Abèzėje",miestas,,2,"Komija, Rusija",vienintelis,,,Lietuvos gyventojų 1941–1952 m. tremties vieta,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,098ed29b-d017-46e4-8093-0b1893acb306,89657059-52e0-4137-8fef-a124bcab4230,,100050,Abisavas,Abi̇̀savas,,ežeras,,1,"Zarasų rajonas, Utenosapskritis, Lietuva",neapibrėžtas,,,dabar Antãlieptės mãrios,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,c1b885cf-12fc-4429-93cb-84f1746cc635,d0575ca2-a792-4cd5-a179-62ca9e5ecc1f,,100060,Ablinga,Ablingà,"Ablingõs, Ãblingai, į Ãblingą, ties Ãblinga, Ablingojè",kaimas,,(3b),"Klaipėdos rajonas, Klaipėdosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,45b50ea7-3e36-46cb-b586-e207565d9f43,1741deae-70b3-468e-b84d-a2129ca9b904,,100070,Abramovas,Abrãmovas,,kaimas,,1,"Kaliningrado sritis, Krasnoznamensko rajonas, Rusija",oficialusis,neoficialusis - Ži̇̀rnupiai,,buvusi Pilkalnio apskritis,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,d3d7c9d0-8254-40c4-b282-fe894d11526c,def8be51-b9e9-4616-9ab7-ad565112d58b,,100080,Abromiškės,Abrõmiškės,,kaimas,,1,"Elektrėnų savivaldybės teritorija, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,01cb860c-0d3a-4fca-9232-682cfaf433bc,5c7b9dd7-e3db-4755-b65e-8054e1b65436,,100090,Acintas,Aci̇̀ntas,,ežeras,,1,"Švenčionių rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,11409bb3-bb2e-4a23-b08d-e6350c9a45c4,635248f5-b7cb-4b87-a4b1-635a6b5d5040,,100100,Acokavai,Acókavai,,kaimas,,1,"Radviliškio rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,ca9998ae-7a33-468e-bff9-8d5282403012,88085959-0761-4e1f-ab0b-2dacd9f0466f,,100110,Ačinskas,Ãčinskas,,miestas,,1,"Krasnojarsko kraštas, Rusija",vienintelis,,,Lietuvos gyventojų 1941–1952 m. tremties vieta Sibire,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,929be8c1-af02-43ad-9e9c-650cc775dffa,cb58eeda-350a-4e7e-8771-c33ff868f6c9,,100120,Adakavas,Adakãvas,"Adakãvo, Adakãvui, į Adakãvą, ties Adakavù, Adakavè",kaimas,,2,"Tauragės rajonas, Tauragėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,0301040f-a2b0-4126-bd01-9e8c7838cb9b,b7852dcb-8ff7-4b54-a5f8-a8aef011e9bc,,100130,Adamarina,Adamarinà,"Adamari̇̀nos, Adamari̇̀nai, į Adamari̇̀ną, ties Adamarinà, Adamari̇̀noje",kaimas,,2,"Vilkaviškio rajonas, Marijampolėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,40b2044a-f849-40ed-af6f-67f3db4f93ee,a4a3c136-3ca2-4051-ade6-02e5fdf45549,,100140,Adamonys,Adamónys,"Adamonių̃, Adamoni̇́ms, į Adamónis, ties Adamonimi̇̀s, Adamonysè",kaimas,,3,"Alytaus rajonas, Alytausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,703bc211-689b-453f-80bc-0e5be5924cfc,0e6efc9a-1783-4ff7-977e-6573a85c045f,,100150,Adolinavos pelkė (durpynas),Adolinãvos pélkė (durpýnas),,pelkė,,,"Kupiškio rajonas, Panevėžioapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,cc8b2922-93d8-4344-b8a6-02c2fde792a6,5e619e2f-cbea-45a8-806c-589556392e28,,100160,Adomaičiai,Adomáičiai,,kaimas,,1,"Kelmės rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,9b5babd4-5cdb-4410-abd1-61dbaae5e9df,9eab076a-d2d7-4467-95e7-af85f33bb39f,,100170,Adomaičių miškas,Adomáičių mi̇̀škas,,miškas,,,"Vilniaus rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,3821f977-776f-4e59-881a-020e88b84fb5,4080c081-0f6e-455e-b501-b91e75cab1e5,,100180,Adomava,Adomavà,"Adomãvos, Adomãvai, į Adomãvą, ties Adomavà, Adomãvoje",kaimas,,2,"Panevėžio rajonas, Panevėžioapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,6f943b08-1a63-4990-b015-84b18f564756,848d010a-3513-49aa-8dcc-6e9e4609e4ed,,100190,Adomėliai,Adomė̃liai,"Adomė̃lių, Adomė̃liams, į Adomėliùs, ties Adomė̃liais, Adomė̃liuose",kaimas,,2,"Kaišiadorių rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,391afc4c-e1b3-4e71-a0b3-dad82e4dd5d5,d61f800b-0883-47c8-a6fb-fdcbdd209a79,,100200,Adomėniškė,Adomė́niškė,,kaimas,baltarusiškai Adymeniški,1,"Vitebsko sritis, Breslaujos rajonas, Baltarusija",vienintelis,,,,
